tid,label,lat,lon,day,hour,min,pickup_dropoff
1,1,40.75405137703784,-73.96941217169217,13,1,46,1
1,1,40.758592679137664,-73.96749855944938,13,1,29,0
5,1,40.771797973634975,-73.96650637820414,12,10,32,1
5,1,40.75627601237066,-73.98547460366092,12,10,51,0
9,2,40.73690535311617,-73.9928905940061,12,19,53,1
9,2,40.77599273991801,-73.95851168915681,12,20,1,0
15,3,40.742514330866115,-73.99685650453023,13,1,53,1
15,3,40.76906637285866,-73.96314671304128,13,1,35,0
17,3,40.743767995359676,-74.00433938898198,13,3,56,1
17,3,40.75414751513891,-73.99573008664004,13,4,11,0
28,5,40.74608241624229,-73.9831293750932,13,19,35,1
28,5,40.78212193769433,-73.95187630079738,13,19,45,0
29,5,40.77055414763309,-73.96111055038921,13,7,21,1
29,5,40.64376245250024,-73.78212424315564,13,7,46,0
30,5,40.760131106684284,-73.97633871919527,13,20,56,1
30,5,40.765646514455156,-73.97415553377061,13,20,33,0
39,7,40.74121788513877,-73.97722615947998,12,18,48,1
39,7,40.77182584439434,-73.95705957099847,12,18,56,0
40,7,40.745087758610325,-74.00194586575083,14,12,19,1
40,7,40.73046078157641,-73.98292331159166,14,12,31,0
41,7,40.78548816775002,-73.96964954858697,12,19,49,1
41,7,40.790992675321476,-73.97114258579961,12,19,56,0
61,11,40.727103812592404,-74.00010228663734,11,6,11,1
61,11,40.75633700748004,-73.98129015643201,11,6,18,0
73,13,40.715851502465384,-73.99121894635311,13,0,53,1
73,13,40.72852993753769,-74.00021641463093,13,0,36,0
75,13,40.73570161496319,-73.99011726252786,14,12,36,1
75,13,40.72771660422005,-73.99920230120472,14,12,42,0
77,13,40.777326146113055,-73.97651506442628,12,6,38,1
77,13,40.74069787838526,-73.99266850896231,12,6,29,0
94,16,40.772516805650966,-73.96369523689202,18,20,2,1
94,16,40.690165573703425,-73.99663638830236,18,20,53,0
97,17,40.770817924263255,-73.98285605985723,18,22,23,1
97,17,40.761461708667056,-73.96641848556749,18,22,29,0
99,17,40.77168896791555,-73.95197931625,18,22,28,1
99,17,40.758690007003324,-73.9654508386185,18,22,33,0
102,17,40.721368215950505,-73.98987022548965,18,21,3,1
102,17,40.74220526122518,-73.99811437487654,18,21,20,0
110,19,40.69847778041877,-74.01781511627189,18,22,23,1
110,19,40.71163799797215,-74.00651052542082,18,22,28,0
114,19,40.766788120353894,-73.98553624883345,18,22,14,1
114,19,40.77611110729195,-73.96200608503125,18,22,23,0
125,21,40.74522968937673,-73.99738359399191,18,21,15,1
