lat,lon,day,hour,min,pickup_dropoff
40.7520438625812,-73.96890076849661,13.0,1.0,46.0,1.0
40.75877157037176,-73.96003327559731,13.0,1.0,4.0,0.0
40.77694770318486,-73.96160198789141,12.0,10.0,32.0,1.0
40.76678937018879,-73.97906461212835,12.0,10.0,51.0,0.0
40.74267690626003,-73.98415545322052,12.0,19.0,43.0,1.0
40.77630896304764,-73.95278810843877,12.0,20.0,1.0,0.0
40.74376928803541,-73.98929387465171,13.0,1.0,43.0,1.0
40.77550948594727,-73.9596595805516,13.0,1.0,35.0,0.0
40.74270633698471,-73.99760772422007,13.0,3.0,56.0,1.0
40.75829623403989,-73.99116116710059,13.0,4.0,11.0,0.0
40.75279279772222,-73.9771261501038,13.0,19.0,35.0,1.0
40.77643556890108,-73.94878202252141,13.0,19.0,45.0,0.0
40.77131121789135,-73.96593326371215,13.0,7.0,21.0,1.0
40.64441676993884,-73.78700139321438,13.0,7.0,46.0,0.0
40.75703949990712,-73.97579843475535,13.0,20.0,52.0,1.0
40.766598757328765,-73.97221605869993,13.0,20.0,57.0,0.0
40.75194228866677,-73.97633857484027,12.0,18.0,48.0,1.0
40.77247834389128,-73.94844601251236,12.0,18.0,56.0,0.0
40.74816140599579,-73.99746167793921,14.0,12.0,19.0,1.0
40.72839496095695,-73.98151950020394,14.0,12.0,31.0,0.0
40.79282339473285,-73.95372073672763,12.0,19.0,49.0,1.0
40.78493290205516,-73.96333367791078,12.0,19.0,52.0,0.0
40.72694602233388,-73.9936521588271,11.0,6.0,11.0,1.0
40.75701355884813,-73.97344999405607,11.0,6.0,18.0,0.0
40.7247091401092,-73.97940414393372,13.0,0.0,43.0,1.0
40.73378231932439,-74.00188143871776,13.0,0.0,36.0,0.0
40.739224151680546,-73.99264636956207,14.0,12.0,36.0,1.0
40.72232028466679,-73.99308954685978,14.0,12.0,42.0,0.0
40.78294256513037,-73.97354939737409,12.0,6.0,38.0,1.0
40.749589771703185,-73.98344510555319,12.0,6.0,4.0,0.0
40.771264700191395,-73.96090969484351,18.0,20.0,2.0,1.0
